term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"Supplier-Financed","RO","E","2","ro/fcf-postavshiki.html","PROSE","Supplier-Financed articol de stoc","3","MEDIUM","Профинансировано поставщиком","Finanțat de furnizor","YES","YES","","NO","MEDIUM","FAIL","metric label"
"Own-Funded","RO","E","2","ro/fcf-postavshiki.html","PROSE","— Generator / Supplier-Financed / Own-Funded / Destroyer și decizia sub fiecare.","3","MEDIUM","Профинансировано собственными деньгами","Finanțat din surse proprii","YES","YES","","NO","MEDIUM","FAIL","metric label"
"Purchase Gate","RO","E","2","ro/kaznacheystvo.html ro/treasury-waterfall.html","PROSE","Fiecare plată trece prin verificări: Purchase Gate (este necesară cheltuiala, există buget), AP Gate (este confirmat documentul, termenul, suma) și Payment Gate","3","MEDIUM","Контроль закупок","Poarta de achiziție","YES","YES","","NO","MEDIUM","FAIL","MODULE"
"AP Gate","RO","A","2","ro/kaznacheystvo.html ro/treasury-waterfall.html","PROSE","Fiecare plată trece prin verificări: Purchase Gate (este necesară cheltuiala, există buget), AP Gate (este confirmat documentul, termenul, suma) și Payment Gate","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mix","RO","A","2","ro/margin-factor-analysis-flags.html","CARD PROSE","Sortiment / Mix","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Green","RO","A","2","ro/margin-factor-analysis-flags.html ro/treasury-waterfall.html","CARD PROSE","Green","3","MEDIUM","Зелёная зона","Zonă verde","NO","NO","","NO","MEDIUM","FAIL","status flag"
"Yellow","RO","A","2","ro/margin-factor-analysis-flags.html ro/treasury-waterfall.html","CARD PROSE","Yellow","3","MEDIUM","Жёлтая зона","Zonă galbenă","NO","NO","","NO","MEDIUM","FAIL","status flag"
"Orange","RO","A","2","ro/margin-factor-analysis-flags.html ro/treasury-waterfall.html","CARD PROSE","Orange","3","MEDIUM","Оранжевая зона","Zonă portocalie","NO","NO","","NO","MEDIUM","FAIL","status flag"
"Red","RO","A","2","ro/margin-factor-analysis-flags.html ro/treasury-waterfall.html","CARD PROSE","Red","3","MEDIUM","Красная зона","Zonă roșie","NO","NO","","NO","MEDIUM","FAIL","status flag"
"Category","RO","A","2","ro/retail-margin-engine.html","PROSE FORMULA","Space → Category → articol de stoc","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Space","RO","A","2","ro/retail-margin-engine.html","PROSE FORMULA","Space → Category → articol de stoc","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Conditional","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE CARD","Conditional","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Confirmed Inflows","RO","A","2","ro/treasury-waterfall.html","PROSE CARD","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Minimum Reserve","RO","A","2","ro/treasury-waterfall.html ro/working-capital.html","PROSE","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Bank Balance","RO","A","2","ro/treasury-waterfall.html","PROSE CARD","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","3","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Governance","RU","A","2","ai-agent-economics.html","PROSE","Governance","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"PASS","RU","A","2","ai-agent-economics.html retail-margin-engine.html","PROSE CARD","PASS ✓","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Volume","RU","A","2","ai-agent-economics.html margin-factor-analysis-flags.html","PROSE CARD","Volume","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Forecast","RU","A","2","ai-agent-economics.html treasury-waterfall.html","PROSE CARD","Forecast","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"email alerts","RU","A","2","ai-dlya-cfo.html monthly-cfo-support.html","PROSE","Telegram и email alerts","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Treasury","RU","A","2","business-control-system.html treasury-waterfall.html","PROSE","Отчёт о прибыли и убытках , денежный поток, Treasury, ключевые показатели, Power BI","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash gap","RU","A","2","cases.html monthly-cfo-support.html","PROSE","Cash gap обнаруживается слишком поздно.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"tenure","RU","A","2","client-base-control-system.html renewal-revenue-at-risk.html","PROSE","Стаж и продления (tenure)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"recency","RU","A","2","client-base-control-system.html renewal-revenue-at-risk.html","PROSE","Свежесть активности (recency)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Indicative Revenue at Risk","RU","A","2","client-base-control-system.html renewal-revenue-at-risk.html","PROSE","(Indicative Revenue at Risk): ориентировочная экспозиция следующего сезона, разложенная по сегментам, продуктам и менеджерам. Этого достаточно, чтобы расставить","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"B-","RU","A","2","client-base-control-system.html","PROSE","Универсальная логика для любых повторяющихся платежей: подписки, сервисные контракты, аренда мест и рабочих пространств, B2B-абонементы. Профиль актива → склонн","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Working Capital","RU","B","2","fcf-postavshiki.html templates.html","PROSE","FINMENTOR · Денежный поток & Working Capital","2","LOW","Оборотный капитал","Capital de lucru","YES","NO","","NO","MEDIUM","FAIL",""
"Generator","RU","A","2","fcf-postavshiki.html","PROSE","Денежный поток Generator","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"CFSKU after Fixed Costs","RU","A","2","fcf-postavshiki.html","PROSE","CFSKU after Fixed Costs","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"lines","RU","A","2","fcf-postavshiki.html","CARD","Кол-во операций, заказов, товарная позиция-lines, отгрузок","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Operating Cycle Days","RU","A","2","fcf-postavshiki.html","PROSE CARD","Operating Cycle Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Own-Funded Gap Days","RU","A","2","fcf-postavshiki.html","PROSE","Own-Funded Gap Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"MAX","RU","A","2","fcf-postavshiki.html retail-margin-engine.html","PROSE CARD","= MAX(0; Inventory Days + DSO − DPO)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded Days","RU","A","2","fcf-postavshiki.html","PROSE","Supplier-Funded Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"MIN","RU","A","2","fcf-postavshiki.html retail-margin-engine.html","PROSE CARD","= MIN(DPO; Inventory Days + DSO)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Annual Rate","RU","A","2","fcf-postavshiki.html","PROSE","= Daily COGS × Own-Funded Gap Days × Annual Rate ÷ 365","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Daily COGS","RU","A","2","fcf-postavshiki.html","PROSE","= Daily COGS × Own-Funded Gap Days × Annual Rate ÷ 365","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded Amount","RU","A","2","fcf-postavshiki.html","PROSE","Supplier-Funded Amount","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Destroyer","RU","A","2","fcf-postavshiki.html","PROSE CARD","Cash Destroyer","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"FCF by","RU","A","2","fcf-postavshiki.html","PROSE CARD","Как это выглядит в управленческой таблице (FCF by товарная позиция · Панель собственника (Dashboard))","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Destroyers","RU","A","2","fcf-postavshiki.html","PROSE CARD","Наращивать объём по денежному потоку Generators, останавливать Cash Destroyers, пересматривать объёмы по Own-Funded товарам.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"marketing spend","RU","A","2","fcf-postavshiki.html margin-factor-analysis-flags.html","CARD","Привязывает marketing spend к товарной позиции или категории","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"fixed costs","RU","A","2","fcf-postavshiki.html","CARD CTA","Распределяет fixed costs по базе","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Alerts","RU","A","2","fcf-postavshiki.html supplier-rating-purchasing-priorities.html","CARD","Alerts","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock Availability Flag","RU","A","2","margin-factor-analysis-flags.html","CARD PROSE","Stock Availability Flag","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Availability","RU","A","2","margin-factor-analysis-flags.html","CARD PROSE","Availability %","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"FX","RU","A","2","margin-factor-analysis-flags.html","CARD","FX / Currency Impact","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Data Quality","RU","A","2","margin-factor-analysis-flags.html","CARD","Data Quality","2","LOW","Качество данных","Calitatea datelor","NO","NO","","NO","MEDIUM","FAIL",""
"Stock-out","RU","A","2","margin-factor-analysis-flags.html","CARD PROSE","Stock-out 12 дней","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"alerts","RU","A","2","margin-factor-analysis-flags.html treasury-waterfall.html","CARD","Отправляет alerts, если Price Effect или Cost Effect в красной зоне","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Risk Flags","RU","A","2","margin-factor-analysis-flags.html supplier-rating-purchasing-priorities.html","CARD","Risk Flags","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"deliverables","RU","A","2","monthly-cfo-support.html","PROSE",", а не безлимитное внешнее финансовое сопровождение. Ниже — три уровня вовлечённости. Точный объём встреч, часов и deliverables фиксируется до начала работы.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Membership Renewal Engine","RU","A","2","renewal-revenue-at-risk.html","PROSE","Методология выросла из практического управленческого контура (Membership Renewal Engine — помесячный цикл в реальном фитнес-бизнесе, 2021), но предсказательную ","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"placement","RU","A","2","retail-margin-engine.html","PROSE","Магазин, оборудование, площадь, линейные метры, категории, товарная позиция, placement и продажи в единой логике.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Retrobonus","RU","A","2","retail-margin-engine.html","PROSE","Promo + Retrobonus","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Promo","RU","A","2","retail-margin-engine.html supplier-shelf-credit.html","PROSE","Promo + Retrobonus","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Owner cash gap","RU","A","2","retail-margin-engine.html","PROSE CARD","Owner cash gap по поставщикам и категориям.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"owner cash gap","RU","A","2","retail-margin-engine.html","PROSE","Если товар стоит на полке, но уже оплачен поставщику, полку финансирует собственник. Если товар ещё не оплачен, её временно финансирует поставщик. Модель показы","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier","RU","A","2","retail-margin-engine.html","PROSE FORMULA","Target Marja → Space → Category → товарная позиция → Supplier → Decision","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"owner review","RU","A","2","retail-margin-engine.html","PROSE","Светофор по Margin Gap, supplier credit и действиям для owner review.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock value","RU","A","2","retail-margin-engine.html","CARD","MIN(100%; AP / Stock value)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"AP","RU","A","2","retail-margin-engine.html","CARD","MIN(100%; AP / Stock value)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Strategic Priority Factor","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","= Supplier Rating × Strategic Priority Factor × Risk Adjustment","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Risk Adjustment","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","= Supplier Rating × Strategic Priority Factor × Risk Adjustment","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Preferred Supplier","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE CARD","Preferred Supplier","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stop","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE CARD","Exception / Stop","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Preferred","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE CARD","Preferred","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Approved","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE CARD","Approved","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Fund","RU","A","2","treasury-waterfall.html","CARD","Construction / капитальные вложения Fund","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Legal","RU","A","2","treasury-waterfall.html","CARD","Legal / Compliance Fund","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Reserve","RU","A","2","treasury-waterfall.html","CARD","Reserve / Liquidity","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Discretionary","RU","A","2","treasury-waterfall.html","CARD","Owner / Discretionary","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mandatory Coverage","RU","A","2","treasury-waterfall.html","PROSE","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Restricted Funds","RU","A","2","treasury-waterfall.html","PROSE","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"coverage","RU","A","2","treasury-waterfall.html","CARD PROSE","Нарушает 7/14/30 coverage","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Position","RU","A","2","treasury-waterfall.html","PROSE CARD","Блок 1. Cash Position","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Payment Queue","RU","A","2","treasury-waterfall.html","PROSE","Блок 3. Payment Queue","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Finance","RU","A","2","treasury-waterfall.html","CARD","Finance / HR","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Governance","RO","A","2","ro/ai-agent-economics.html","PROSE","Governance","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"PASS","RO","A","2","ro/ai-agent-economics.html ro/retail-margin-engine.html","PROSE CARD","PASS ✓","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Forecast","RO","A","2","ro/ai-agent-economics.html ro/treasury-waterfall.html","PROSE CARD","Forecast","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Treasury","RO","A","2","ro/business-control-system.html ro/treasury-waterfall.html","PROSE","Cont de profit și pierdere , flux de numerar, Treasury, indicatori-cheie, Power BI","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash gap","RO","A","2","ro/cases.html ro/monthly-cfo-support.html","PROSE","Cash gap-ul se descoperă prea târziu.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Indicative Revenue at Risk","RO","A","2","ro/client-base-control-system.html ro/renewal-revenue-at-risk.html","PROSE","(Indicative Revenue at Risk): expunerea orientativă a sezonului următor, defalcată pe segmente, produse și manageri. Este suficient pentru a stabili prioritățil","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Working Capital","RO","B","2","ro/fcf-postavshiki.html ro/templates.html","PROSE","FINMENTOR · Flux de numerar & Working Capital","2","LOW","Оборотный капитал","Capital de lucru","YES","NO","","NO","MEDIUM","FAIL",""
"CFSKU after Fixed Costs","RO","A","2","ro/fcf-postavshiki.html","PROSE","CFSKU after Fixed Costs","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Operating Cycle Days","RO","A","2","ro/fcf-postavshiki.html","PROSE CARD","Operating Cycle Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Own-Funded Gap Days","RO","A","2","ro/fcf-postavshiki.html","PROSE","Own-Funded Gap Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"MAX","RO","A","2","ro/fcf-postavshiki.html ro/retail-margin-engine.html","PROSE CARD","= MAX(0; Inventory Days + DSO − DPO)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded Days","RO","A","2","ro/fcf-postavshiki.html","PROSE","Supplier-Funded Days","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"MIN","RO","A","2","ro/fcf-postavshiki.html ro/retail-margin-engine.html","PROSE CARD","= MIN(DPO; Inventory Days + DSO)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Annual Rate","RO","A","2","ro/fcf-postavshiki.html","PROSE","= Daily COGS × Own-Funded Gap Days × Annual Rate ÷ 365","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Daily COGS","RO","A","2","ro/fcf-postavshiki.html","PROSE","= Daily COGS × Own-Funded Gap Days × Annual Rate ÷ 365","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded Amount","RO","A","2","ro/fcf-postavshiki.html","PROSE","Supplier-Funded Amount","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Destroyer","RO","A","2","ro/fcf-postavshiki.html","PROSE CARD","Cash Destroyer","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"FCF by","RO","A","2","ro/fcf-postavshiki.html","PROSE CARD","Cum arată în tabelul managerial (FCF by articol de stoc · Tablou de bord pentru proprietar )","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Destroyers","RO","A","2","ro/fcf-postavshiki.html","PROSE CARD","De crescut volumul pe flux de numerar Generators, de oprit Cash Destroyers, de revizuit volumele pe produsele Own-Funded.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Alerts","RO","A","2","ro/fcf-postavshiki.html ro/supplier-rating-purchasing-priorities.html","CARD","Alerts","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock Availability Flag","RO","A","2","ro/margin-factor-analysis-flags.html","CARD PROSE","Stock Availability Flag","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Availability","RO","A","2","ro/margin-factor-analysis-flags.html","CARD PROSE","Availability %","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock-out","RO","A","2","ro/margin-factor-analysis-flags.html","CARD PROSE","Stock-out 12 zile","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Risk Flags","RO","A","2","ro/margin-factor-analysis-flags.html ro/supplier-rating-purchasing-priorities.html","CARD","Risk Flags","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Impact","RO","A","2","ro/margin-factor-analysis-flags.html ro/supplier-rating-purchasing-priorities.html","CARD","Promo Impact","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Membership Renewal Engine","RO","A","2","ro/renewal-revenue-at-risk.html","PROSE","Metodologia a crescut dintr-un circuit managerial practic (Membership Renewal Engine — ciclu lunar într-un business de fitness real, 2021), dar puterea predicti","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Retrobonus","RO","A","2","ro/retail-margin-engine.html","PROSE","Promo + Retrobonus","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Owner cash gap","RO","A","2","ro/retail-margin-engine.html","PROSE CARD","Owner cash gap pe furnizori și categorii.","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier","RO","A","2","ro/retail-margin-engine.html","PROSE FORMULA","Target Marja → Space → Category → articol de stoc → Supplier → Decision","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock value","RO","A","2","ro/retail-margin-engine.html","CARD","MIN(100%; AP / Stock value)","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Strategic Priority Factor","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE","= Supplier Rating × Strategic Priority Factor × Risk Adjustment","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Risk Adjustment","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE","= Supplier Rating × Strategic Priority Factor × Risk Adjustment","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Preferred Supplier","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE CARD","Preferred Supplier","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stop","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE CARD","Exception / Stop","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Preferred","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE CARD","Preferred","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Approved","RO","A","2","ro/supplier-rating-purchasing-priorities.html","PROSE CARD","Approved","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Fund","RO","A","2","ro/treasury-waterfall.html","CARD","Construction / investiții de capital Fund","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Legal","RO","A","2","ro/treasury-waterfall.html","CARD","Legal / Compliance Fund","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Reserve","RO","A","2","ro/treasury-waterfall.html","CARD","Reserve / Liquidity","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Discretionary","RO","A","2","ro/treasury-waterfall.html","CARD","Owner / Discretionary","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mandatory Coverage","RO","A","2","ro/treasury-waterfall.html","PROSE","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Restricted Funds","RO","A","2","ro/treasury-waterfall.html","PROSE","= Bank Balance + Confirmed Inflows − Restricted Funds − Minimum Reserve − Mandatory Coverage","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Position","RO","A","2","ro/treasury-waterfall.html","PROSE CARD","Blocul 1. Cash Position","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Payment Queue","RO","A","2","ro/treasury-waterfall.html","PROSE","Blocul 3. Payment Queue","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Finance","RO","A","2","ro/treasury-waterfall.html","CARD","Finance / HR","2","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"budget control and governance","RU","A","2","ai-agent-economics.html","JSON_LD","CFO-модель FINMENTOR для финансового контроля цифрового труда: Full Cost, стоимость принятого результата, стоимость того же результата у человека, отдача от вло","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"before conversion","RU","A","2","ai-agent-economics.html","ARIA","Высвобожденная мощность — это ещё не денежная экономия before conversion","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Model routing","RU","A","2","ai-agent-economics.html","ARIA","Model routing","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"model mix","RU","A","2","ai-agent-economics.html","PROSE","Причина может быть в model mix, контексте, повторных попытках, ручной проверке или слабом дизайне самого процесса.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Quality","RU","A","2","ai-agent-economics.html","PROSE","Quality","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"High","RU","A","2","ai-agent-economics.html","PROSE","High ✓","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Insufficient","RU","A","2","ai-agent-economics.html","PROSE","Insufficient ×","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Tools","RU","A","2","ai-agent-economics.html","PROSE","Tools","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Infrastructure","RU","A","2","ai-agent-economics.html","PROSE","Infrastructure","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"qualified lead","RU","A","2","ai-agent-economics.html","PROSE","qualified lead","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"approved report commentary","RU","A","2","ai-agent-economics.html","PROSE","approved report commentary","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"reviewed contract","RU","A","2","ai-agent-economics.html","PROSE","reviewed contract","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
